objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,image01.jpg,,,AWE Manila Marketing Collaterals,,2021-12-12,Batch Hiraya's Outputs,women entrepreneurs;DreamBuilder,DLSU  Manila,14.56506532,120.9930579,,,Image;StillImage,image/jpg,eng,,
coll002,image02.png,,,AWE Manila Marketing Collaterals,,2021-12-13,Batch Hiraya's Outputs,women entrepreneurs; DreamBuilder,DLSU  Manila,14.56506532,120.9930579,,,Image;StillImage,image/png,eng,,
coll003,image03.png,,,AWE Manila Marketing Collaterals,,2021-12-14,Batch Hiraya's Outputs,women entrepreneurs; DreamBuilder,DLSU  Manila,14.56506532,120.9930579,,,Image;StillImage,image/png,eng,,
coll004,image04.png,,,AWE Manila Marketing Collaterals,,2021-12-15,Batch Hiraya's Outputs,women entrepreneurs; DreamBuilder,DLSU  Manila,14.56506532,120.9930579,,,Image;StillImage,image/png,eng,,
coll005,image05.png,,,AWE Manila Marketing Collaterals,,2021-12-16,Batch Hiraya's Outputs,women entrepreneurs;DreamBuilder,DLSU  Manila,14.56506532,120.9930579,,,Image;StillImage,image/png,eng,,
coll006,image00.png,,,AWE Manila Marketing Collaterals,,2021-12-17,Batch Hiraya's Outputs,women entrepreneurs; DreamBuilder,DLSU  Manila,14.56506532,120.9930579,,,Image;StillImage,image/png,eng,,
